No.,Time,Source,Destination,Length,Protocol,Info,Attack
20,"2025-06-04 06:50:17,667732",45.224.186.35.bc.googleusercontent.com,Asus.local,94,TLSv1.2,Application Data,0
21,"2025-06-04 06:50:17,721615",Asus.local,45.224.186.35.bc.googleusercontent.com,54,TCP,51581  >  https(443) [ACK] Seq=44 Ack=41 Win=2047 Len=0,0
22,"2025-06-04 06:50:18,283398",Asus.local,180.250.245.133,99,DNS,Standard query 0x133c PTR 133.245.250.180.in-addr.arpa OPT,0
23,"2025-06-04 06:50:18,283495",Asus.local,180.250.245.133,97,DNS,Standard query 0xaaf9 PTR 45.224.186.35.in-addr.arpa OPT,0
24,"2025-06-04 06:50:18,283709",Asus.local,2001:4489:50a:101::2,119,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
25,"2025-06-04 06:50:18,497771",180.250.245.133,Asus.local,149,DNS,Standard query response 0xaaf9 PTR 45.224.186.35.in-addr.arpa PTR 45.224.186.35.bc.googleusercontent.com OPT,0
26,"2025-06-04 06:50:18,765305",Asus.local,224.77.77.77,155,UDP,63661  >  12177 Len=113,0
27,"2025-06-04 06:50:19,283606",Asus.local,180.250.245.142,143,DNS,Standard query 0x655e PTR 9.b.4.9.8.8.1.f.8.5.b.9.5.7.4.7.b.0.5.0.0.a.0.5.a.8.4.4.1.0.0.2.ip6.arpa OPT,0
28,"2025-06-04 06:50:19,283716",Asus.local,180.250.245.142,143,DNS,Standard query 0x26b3 PTR 2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0.a.0.5.0.9.8.4.4.1.0.0.2.ip6.arpa OPT,0
29,"2025-06-04 06:50:19,298624",Asus.local,ec2-52-206-48-130.compute-1.amazonaws.com,90,TLSv1.2,Application Data,0
30,"2025-06-04 06:50:19,425468",Asus.local,mdns.mcast.net,311,MDNS,Standard query response 0x0000 PTR Asus._dosvc._tcp.local SRV 0 0 7680 Asus.local TXT,0
31,"2025-06-04 06:50:19,427599",Asus.local,ff02::fb,331,MDNS,Standard query response 0x0000 PTR Asus._dosvc._tcp.local SRV 0 0 7680 Asus.local TXT,0
32,"2025-06-04 06:50:19,428639",Asus.local,mdns.mcast.net,82,MDNS,"Standard query 0x0000 ANY Asus._dosvc._tcp.local, ""QM"" question",0
33,"2025-06-04 06:50:19,429152",Asus.local,ff02::fb,102,MDNS,"Standard query 0x0000 ANY Asus._dosvc._tcp.local, ""QM"" question",0
34,"2025-06-04 06:50:19,468931",180.250.245.142,Asus.local,231,DNS,Standard query response 0x655e No such name PTR 9.b.4.9.8.8.1.f.8.5.b.9.5.7.4.7.b.0.5.0.0.a.0.5.a.8.4.4.1.0.0.2.ip6.arpa SOA ns.apnic.net OPT,0
35,"2025-06-04 06:50:19,470916",180.250.245.142,Asus.local,231,DNS,Standard query response 0x26b3 No such name PTR 2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0.a.0.5.0.9.8.4.4.1.0.0.2.ip6.arpa SOA ns.apnic.net OPT,0
36,"2025-06-04 06:50:19,537179",ec2-52-206-48-130.compute-1.amazonaws.com,Asus.local,56,TCP,https(443)  >  61710 [ACK] Seq=1 Ack=37 Win=261 Len=0,0
37,"2025-06-04 06:50:19,688525",Asus.local,mdns.mcast.net,82,MDNS,"Standard query 0x0000 ANY Asus._dosvc._tcp.local, ""QM"" question",0
38,"2025-06-04 06:50:19,689056",Asus.local,ff02::fb,102,MDNS,"Standard query 0x0000 ANY Asus._dosvc._tcp.local, ""QM"" question",0
39,"2025-06-04 06:50:19,952963",Asus.local,mdns.mcast.net,82,MDNS,"Standard query 0x0000 ANY Asus._dosvc._tcp.local, ""QM"" question",0
40,"2025-06-04 06:50:19,953356",Asus.local,ff02::fb,102,MDNS,"Standard query 0x0000 ANY Asus._dosvc._tcp.local, ""QM"" question",0
41,"2025-06-04 06:50:20,217828",Asus.local,mdns.mcast.net,421,MDNS,"Standard query response 0x0000 PTR, cache flush Asus._dosvc._tcp.local SRV, cache flush 0 0 7680 Asus.local TXT, cache flush A, cache flush 192.168.1.18 AAAA, cache flush 2001:448a:50a0:50b:5043:d7b3:c6fb:e285 AAAA, cache flush 2001:448a:50a0:50b:7475:9b58:f188:94b9 AAAA, cache flush fe80::d015:57cc:7463:7b6",0
42,"2025-06-04 06:50:20,218327",Asus.local,ff02::fb,441,MDNS,"Standard query response 0x0000 PTR, cache flush Asus._dosvc._tcp.local SRV, cache flush 0 0 7680 Asus.local TXT, cache flush A, cache flush 192.168.1.18 AAAA, cache flush 2001:448a:50a0:50b:5043:d7b3:c6fb:e285 AAAA, cache flush 2001:448a:50a0:50b:7475:9b58:f188:94b9 AAAA, cache flush fe80::d015:57cc:7463:7b6",0
43,"2025-06-04 06:50:20,218636",Asus.local,mdns.mcast.net,368,MDNS,"Standard query response 0x0000 SRV, cache flush 0 0 7680 Asus.local TXT, cache flush A, cache flush 192.168.1.18 AAAA, cache flush 2001:448a:50a0:50b:5043:d7b3:c6fb:e285 AAAA, cache flush 2001:448a:50a0:50b:7475:9b58:f188:94b9 AAAA, cache flush fe80::d015:57cc:7463:7b6",0
44,"2025-06-04 06:50:20,218913",Asus.local,ff02::fb,388,MDNS,"Standard query response 0x0000 SRV, cache flush 0 0 7680 Asus.local TXT, cache flush A, cache flush 192.168.1.18 AAAA, cache flush 2001:448a:50a0:50b:5043:d7b3:c6fb:e285 AAAA, cache flush 2001:448a:50a0:50b:7475:9b58:f188:94b9 AAAA, cache flush fe80::d015:57cc:7463:7b6",0
45,"2025-06-04 06:50:20,294269",Asus.local,180.250.245.142,97,DNS,Standard query 0xfbd7 PTR 130.48.206.52.in-addr.arpa OPT,0
46,"2025-06-04 06:50:20,294356",Asus.local,180.250.245.142,95,DNS,Standard query 0x5f79 PTR 251.0.0.224.in-addr.arpa OPT,0
47,"2025-06-04 06:50:20,294444",Asus.local,180.250.245.142,143,DNS,Standard query 0x5b19 PTR 6.b.7.0.3.6.4.7.c.c.7.5.5.1.0.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa OPT,0
48,"2025-06-04 06:50:20,294524",Asus.local,180.250.245.142,143,DNS,Standard query 0x2a73 PTR b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa OPT,0
49,"2025-06-04 06:50:20,294577",Asus.local,180.250.245.142,99,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
50,"2025-06-04 06:50:20,294624",Asus.local,180.250.245.142,99,DNS,Standard query 0x133c PTR 133.245.250.180.in-addr.arpa OPT,0
51,"2025-06-04 06:50:20,306302",180.250.245.142,Asus.local,99,DNS,Standard query response 0xf688 Server failure PTR 142.245.250.180.in-addr.arpa OPT,0
52,"2025-06-04 06:50:20,537456",180.250.245.142,Asus.local,207,DNS,Standard query response 0x2a73 No such name PTR b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa SOA b.ip6-servers.arpa OPT,0
53,"2025-06-04 06:50:20,551409",180.250.245.142,Asus.local,207,DNS,Standard query response 0x5b19 No such name PTR 6.b.7.0.3.6.4.7.c.c.7.5.5.1.0.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa SOA b.ip6-servers.arpa OPT,0
54,"2025-06-04 06:50:20,636103",180.250.245.133,Asus.local,99,DNS,Standard query response 0x133c Server failure PTR 133.245.250.180.in-addr.arpa OPT,0
55,"2025-06-04 06:50:20,666434",Asus.local,13.70.79.200,54,TCP,"50425  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=1021 Len=0",0
56,"2025-06-04 06:50:20,776132",Asus.local,224.77.77.77,155,UDP,63661  >  12177 Len=113,0
57,"2025-06-04 06:50:20,841858",180.250.245.142,Asus.local,285,DNS,Standard query response 0xfbd7 PTR 130.48.206.52.in-addr.arpa PTR ec2-52-206-48-130.compute-1.amazonaws.com NS ns1-24-us-east-1.ec2-rdns.amazonaws.com NS ns2-24-us-east-1.ec2-rdns.amazonaws.com NS ns3-24-us-east-1.ec2-rdns.amazonaws.com NS ns4-24-us-east-1.ec2-rdns.amazonaws.com OPT,0
58,"2025-06-04 06:50:20,885825",13.70.79.200,Asus.local,54,TCP,"https(443)  >  50425 [FIN, ACK] Seq=1 Ack=2 Win=16383 Len=0",1
59,"2025-06-04 06:50:20,885859",Asus.local,13.70.79.200,54,TCP,50425  >  https(443) [ACK] Seq=2 Ack=2 Win=1021 Len=0,1
60,"2025-06-04 06:50:21,082098",180.250.245.142,Asus.local,210,DNS,Standard query response 0x5f79 PTR 251.0.0.224.in-addr.arpa PTR mdns.mcast.net NS a.iana-servers.net NS b.iana-servers.net NS c.iana-servers.net NS ns.icann.org OPT,0
61,"2025-06-04 06:50:21,137886",162.159.136.234,Asus.local,93,TLSv1.2,Application Data,0
62,"2025-06-04 06:50:21,181579",Asus.local,162.159.136.234,54,TCP,49965  >  https(443) [ACK] Seq=1 Ack=82 Win=255 Len=0,1
63,"2025-06-04 06:50:21,297981",180.250.245.142,Asus.local,99,DNS,Standard query response 0x133c Server failure PTR 133.245.250.180.in-addr.arpa OPT,0
64,"2025-06-04 06:50:21,305999",Asus.local,180.250.245.142,96,DNS,Standard query 0x203d PTR 200.79.70.13.in-addr.arpa OPT,0
65,"2025-06-04 06:50:21,306056",Asus.local,180.250.245.142,99,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
66,"2025-06-04 06:50:21,306123",Asus.local,180.250.245.142,99,DNS,Standard query 0x133c PTR 133.245.250.180.in-addr.arpa OPT,0
67,"2025-06-04 06:50:21,310067",180.250.245.142,Asus.local,99,DNS,Standard query response 0xf688 Server failure PTR 142.245.250.180.in-addr.arpa OPT,0
68,"2025-06-04 06:50:21,310067",180.250.245.142,Asus.local,99,DNS,Standard query response 0x133c Server failure PTR 133.245.250.180.in-addr.arpa OPT,0
69,"2025-06-04 06:50:21,497677",20.195.84.23,Asus.local,258,TLSv1.2,Application Data,0
70,"2025-06-04 06:50:21,497677",20.195.84.23,Asus.local,85,TLSv1.2,Application Data,0
71,"2025-06-04 06:50:21,497742",Asus.local,20.195.84.23,54,TCP,65399  >  https(443) [ACK] Seq=1 Ack=236 Win=250 Len=0,1
72,"2025-06-04 06:50:21,498016",Asus.local,20.195.84.23,106,TLSv1.2,Application Data,0
73,"2025-06-04 06:50:21,498246",Asus.local,20.195.84.23,1916,TLSv1.2,Application Data,0
74,"2025-06-04 06:50:21,528103",20.195.84.23,Asus.local,56,TCP,https(443)  >  65399 [ACK] Seq=236 Ack=1493 Win=4386 Len=0,1
75,"2025-06-04 06:50:21,528240",20.195.84.23,Asus.local,93,TLSv1.2,Application Data,0
76,"2025-06-04 06:50:21,572349",20.195.84.23,Asus.local,56,TCP,https(443)  >  65399 [ACK] Seq=275 Ack=1915 Win=4409 Len=0,1
77,"2025-06-04 06:50:21,573002",Asus.local,20.195.84.23,54,TCP,65399  >  https(443) [ACK] Seq=1915 Ack=275 Win=250 Len=0,1
78,"2025-06-04 06:50:21,637461",180.250.245.142,Asus.local,170,DNS,Standard query response 0x203d No such name PTR 200.79.70.13.in-addr.arpa SOA ns1-201.azure-dns.com OPT,0
79,"2025-06-04 06:50:21,839447",Asus.local,2606:4700:20::681a:af0,86,TCP,50548  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM,0
80,"2025-06-04 06:50:22,320720",Asus.local,180.250.245.142,96,DNS,Standard query 0xbd45 PTR 23.84.195.20.in-addr.arpa OPT,0
81,"2025-06-04 06:50:22,320828",Asus.local,180.250.245.142,143,DNS,Standard query 0x7a90 PTR 0.f.a.0.a.1.8.6.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.7.4.6.0.6.2.ip6.arpa OPT,0
82,"2025-06-04 06:50:22,320994",Asus.local,180.250.245.133,99,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
83,"2025-06-04 06:50:22,321019",Asus.local,180.250.245.133,99,DNS,Standard query 0x133c PTR 133.245.250.180.in-addr.arpa OPT,0
84,"2025-06-04 06:50:22,340765",180.250.245.133,Asus.local,99,DNS,Standard query response 0xf688 Server failure PTR 142.245.250.180.in-addr.arpa OPT,0
85,"2025-06-04 06:50:22,341016",180.250.245.133,Asus.local,99,DNS,Standard query response 0x133c Server failure PTR 133.245.250.180.in-addr.arpa OPT,0
86,"2025-06-04 06:50:22,421535",180.250.245.142,Asus.local,205,DNS,Standard query response 0x7a90 No such name PTR 0.f.a.0.a.1.8.6.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.7.4.6.0.6.2.ip6.arpa SOA leah.ns.cloudflare.com OPT,0
87,"2025-06-04 06:50:22,444550",Asus.local,162-254-195-75.valve.net,113,TLSv1.2,Application Data,0
88,"2025-06-04 06:50:22,589172",180.250.245.142,Asus.local,182,DNS,Standard query response 0xbd45 No such name PTR 23.84.195.20.in-addr.arpa SOA ns1-08.azure-dns.com OPT,0
89,"2025-06-04 06:50:22,640017",162-254-195-75.valve.net,Asus.local,56,TCP,27018  >  63142 [ACK] Seq=1 Ack=60 Win=3359 Len=0,1
90,"2025-06-04 06:50:22,789580",Asus.local,224.77.77.77,155,UDP,63661  >  12177 Len=113,0
91,"2025-06-04 06:50:23,315441",Asus.local,180.250.245.142,98,DNS,Standard query 0x2e82 PTR 75.195.254.162.in-addr.arpa OPT,0
92,"2025-06-04 06:50:23,315538",Asus.local,180.250.245.142,99,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
93,"2025-06-04 06:50:23,315560",Asus.local,180.250.245.142,99,DNS,Standard query 0x133c PTR 133.245.250.180.in-addr.arpa OPT,0
94,"2025-06-04 06:50:23,320605",180.250.245.142,Asus.local,99,DNS,Standard query response 0xf688 Server failure PTR 142.245.250.180.in-addr.arpa OPT,0
95,"2025-06-04 06:50:23,320605",180.250.245.142,Asus.local,99,DNS,Standard query response 0x133c Server failure PTR 133.245.250.180.in-addr.arpa OPT,0
96,"2025-06-04 06:50:24,011927",180.250.245.142,Asus.local,136,DNS,Standard query response 0x2e82 PTR 75.195.254.162.in-addr.arpa PTR 162-254-195-75.valve.net OPT,0
97,"2025-06-04 06:50:24,039645",BilianElectr_0a:cc:ef,Broadcast,42,ARP,Who has 192.168.1.1? Tell 192.168.1.3,1
98,"2025-06-04 06:50:24,311928",Asus.local,180.250.245.142,99,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
99,"2025-06-04 06:50:24,312179",Asus.local,2001:4489:50a:101::2,119,DNS,Standard query 0x133c PTR 133.245.250.180.in-addr.arpa OPT,0
100,"2025-06-04 06:50:24,320482",180.250.245.142,Asus.local,99,DNS,Standard query response 0xf688 Server failure PTR 142.245.250.180.in-addr.arpa OPT,0
101,"2025-06-04 06:50:24,796775",Asus.local,224.77.77.77,155,UDP,63661  >  12177 Len=113,0
102,"2025-06-04 06:50:25,309989",Asus.local,180.250.245.142,95,DNS,Standard query 0xd5b3 PTR 3.1.168.192.in-addr.arpa OPT,0
103,"2025-06-04 06:50:25,310052",Asus.local,180.250.245.142,99,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
104,"2025-06-04 06:50:25,312956",180.250.245.142,Asus.local,172,DNS,Standard query response 0xd5b3 No such name PTR 3.1.168.192.in-addr.arpa SOA prisoner.iana.org OPT,0
105,"2025-06-04 06:50:25,314456",180.250.245.142,Asus.local,99,DNS,Standard query response 0xf688 Server failure PTR 142.245.250.180.in-addr.arpa OPT,0
106,"2025-06-04 06:50:25,841762",20.195.84.16,Asus.local,258,TLSv1.2,Application Data,0
107,"2025-06-04 06:50:25,841762",20.195.84.16,Asus.local,85,TLSv1.2,Application Data,1
108,"2025-06-04 06:50:25,841818",Asus.local,20.195.84.16,54,TCP,65288  >  https(443) [ACK] Seq=1 Ack=236 Win=251 Len=0,1
109,"2025-06-04 06:50:25,842023",Asus.local,20.195.84.16,106,TLSv1.2,Application Data,0
110,"2025-06-04 06:50:25,842111",Asus.local,20.195.84.16,2017,TLSv1.2,Application Data,0
111,"2025-06-04 06:50:25,870009",20.195.84.16,Asus.local,93,TLSv1.2,Application Data,0
112,"2025-06-04 06:50:25,870838",20.195.84.16,Asus.local,56,TCP,https(443)  >  65288 [ACK] Seq=275 Ack=2016 Win=4803 Len=0,1
113,"2025-06-04 06:50:25,920610",Asus.local,20.195.84.16,54,TCP,65288  >  https(443) [ACK] Seq=2016 Ack=275 Win=251 Len=0,1
114,"2025-06-04 06:50:26,309225",Asus.local,180.250.245.142,96,DNS,Standard query 0x218f PTR 16.84.195.20.in-addr.arpa OPT,0
115,"2025-06-04 06:50:26,369126",180.250.245.142,Asus.local,182,DNS,Standard query response 0x218f No such name PTR 16.84.195.20.in-addr.arpa SOA ns1-08.azure-dns.com OPT,0
116,"2025-06-04 06:50:26,404165",Asus.local,20.189.173.5,54,TCP,"50433  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=1021 Len=0",1
117,"2025-06-04 06:50:26,608653",20.189.173.5,Asus.local,54,TCP,"https(443)  >  50433 [FIN, ACK] Seq=1 Ack=2 Win=16386 Len=0",1
118,"2025-06-04 06:50:26,608705",Asus.local,20.189.173.5,54,TCP,50433  >  https(443) [ACK] Seq=2 Ack=2 Win=1021 Len=0,1
119,"2025-06-04 06:50:26,807403",Asus.local,224.77.77.77,155,UDP,63661  >  12177 Len=113,0
120,"2025-06-04 06:50:27,180400",Asus.local,lb-140-82-114-25-iad.github.com,55,TCP,49881  >  https(443) [ACK] Seq=1 Ack=1 Win=251 Len=1 [TCP PDU reassembled in 367],1
121,"2025-06-04 06:50:27,317326",BilianElectr_0a:d5:f9,Broadcast,42,ARP,Who has 192.168.1.1? Tell 192.168.1.6,1
122,"2025-06-04 06:50:27,320902",Asus.local,180.250.245.142,96,DNS,Standard query 0x9760 PTR 5.173.189.20.in-addr.arpa OPT,1
123,"2025-06-04 06:50:27,321006",Asus.local,180.250.245.142,97,DNS,Standard query 0xb743 PTR 25.114.82.140.in-addr.arpa OPT,1
124,"2025-06-04 06:50:27,382874",180.250.245.142,Asus.local,182,DNS,Standard query response 0x9760 No such name PTR 5.173.189.20.in-addr.arpa SOA ns1-02.azure-dns.com OPT,0
125,"2025-06-04 06:50:27,448888",lb-140-82-114-25-iad.github.com,Asus.local,66,TCP,https(443)  >  49881 [ACK] Seq=1 Ack=2 Win=74 Len=0 SLE=1 SRE=2,1
126,"2025-06-04 06:50:27,782811",180.250.245.142,Asus.local,142,DNS,Standard query response 0xb743 PTR 25.114.82.140.in-addr.arpa PTR lb-140-82-114-25-iad.github.com OPT,0
127,"2025-06-04 06:50:27,851799",Asus.local,2606:4700:20::ac43:4b27,86,TCP,50550  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM,1
128,"2025-06-04 06:50:27,899923",Asus.local,mdns.mcast.net,87,MDNS,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question",1
129,"2025-06-04 06:50:27,900303",Asus.local,180.250.245.133,92,DNS,Standard query 0x4ba0 AAAA extension.femetrics.grammarly.io,1
130,"2025-06-04 06:50:27,900364",Asus.local,ff02::fb,107,MDNS,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question",1
131,"2025-06-04 06:50:27,900441",Asus.local,180.250.245.133,92,DNS,Standard query 0xa2db A extension.femetrics.grammarly.io,1
132,"2025-06-04 06:50:27,900567",Asus.local,180.250.245.133,92,DNS,Standard query 0x56f1 HTTPS extension.femetrics.grammarly.io,1
133,"2025-06-04 06:50:27,900655",Asus.local,ff02::fb,107,MDNS,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question",1
134,"2025-06-04 06:50:27,900941",Asus.local,ff02::fb,107,MDNS,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question",1
135,"2025-06-04 06:50:27,901306",Asus.local,ff02::fb,107,MDNS,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question",1
136,"2025-06-04 06:50:27,904948",180.250.245.133,Asus.local,220,DNS,Standard query response 0xa2db A extension.femetrics.grammarly.io A 44.199.112.232 A 52.3.138.21 A 18.214.62.58 A 52.87.28.87 A 34.195.232.137 A 34.226.177.201 A 34.232.27.22 A 34.200.205.36,0
137,"2025-06-04 06:50:27,916321",180.250.245.133,Asus.local,179,DNS,Standard query response 0x56f1 HTTPS extension.femetrics.grammarly.io SOA ns-1688.awsdns-19.co.uk,0
138,"2025-06-04 06:50:27,967751",180.250.245.133,Asus.local,179,DNS,Standard query response 0x4ba0 AAAA extension.femetrics.grammarly.io SOA ns-1688.awsdns-19.co.uk,0
139,"2025-06-04 06:50:27,968156",Asus.local,extension.femetrics.grammarly.io,66,TCP,50551  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,1
140,"2025-06-04 06:50:28,206466",extension.femetrics.grammarly.io,Asus.local,66,TCP,"https(443)  >  50551 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM WS=256",1
141,"2025-06-04 06:50:28,206580",Asus.local,extension.femetrics.grammarly.io,54,TCP,50551  >  https(443) [ACK] Seq=1 Ack=1 Win=65280 Len=0,1
142,"2025-06-04 06:50:28,207247",Asus.local,extension.femetrics.grammarly.io,1966,TLSv1.2,Client Hello (SNI=extension.femetrics.grammarly.io),0
143,"2025-06-04 06:50:28,329083",Asus.local,180.250.245.142,143,DNS,Standard query 0xe453 PTR 7.2.b.4.3.4.c.a.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.7.4.6.0.6.2.ip6.arpa OPT,0
144,"2025-06-04 06:50:28,329180",Asus.local,180.250.245.142,99,DNS,Standard query 0x133c PTR 133.245.250.180.in-addr.arpa OPT,1
145,"2025-06-04 06:50:28,337195",180.250.245.142,Asus.local,99,DNS,Standard query response 0x133c Server failure PTR 133.245.250.180.in-addr.arpa OPT,1
146,"2025-06-04 06:50:28,381342",180.250.245.142,Asus.local,205,DNS,Standard query response 0xe453 No such name PTR 7.2.b.4.3.4.c.a.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.7.4.6.0.6.2.ip6.arpa SOA leah.ns.cloudflare.com OPT,0
147,"2025-06-04 06:50:28,461825",extension.femetrics.grammarly.io,Asus.local,54,TCP,https(443)  >  50551 [ACK] Seq=1 Ack=1453 Win=45056 Len=0,1
148,"2025-06-04 06:50:28,462675",extension.femetrics.grammarly.io,Asus.local,1506,TLSv1.2,Server Hello,0
149,"2025-06-04 06:50:28,462675",extension.femetrics.grammarly.io,Asus.local,56,TCP,https(443)  >  50551 [ACK] Seq=1 Ack=1913 Win=47872 Len=0,1
150,"2025-06-04 06:50:28,462675",extension.femetrics.grammarly.io,Asus.local,1506,TCP,https(443)  >  50551 [ACK] Seq=1453 Ack=1913 Win=47872 Len=1452 [TCP PDU reassembled in 151],0
151,"2025-06-04 06:50:28,462675",extension.femetrics.grammarly.io,Asus.local,1447,TLSv1.2,"Certificate, Server Key Exchange, Server Hello Done",0
152,"2025-06-04 06:50:28,462725",Asus.local,extension.femetrics.grammarly.io,54,TCP,50551  >  https(443) [ACK] Seq=1913 Ack=1453 Win=65280 Len=0,1
153,"2025-06-04 06:50:28,462825",Asus.local,extension.femetrics.grammarly.io,54,TCP,50551  >  https(443) [ACK] Seq=1913 Ack=4298 Win=65280 Len=0,1
154,"2025-06-04 06:50:28,504776",Asus.local,extension.femetrics.grammarly.io,180,TLSv1.2,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",0
155,"2025-06-04 06:50:28,505045",Asus.local,extension.femetrics.grammarly.io,153,TLSv1.2,Application Data,0
156,"2025-06-04 06:50:28,505269",Asus.local,extension.femetrics.grammarly.io,435,TLSv1.2,Application Data,0
157,"2025-06-04 06:50:28,505364",Asus.local,extension.femetrics.grammarly.io,12784,TLSv1.2,Application Data,0
158,"2025-06-04 06:50:28,745302",extension.femetrics.grammarly.io,Asus.local,258,TLSv1.2,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message",0
159,"2025-06-04 06:50:28,745302",extension.femetrics.grammarly.io,Asus.local,123,TLSv1.2,Application Data,1
160,"2025-06-04 06:50:28,745355",Asus.local,extension.femetrics.grammarly.io,54,TCP,50551  >  https(443) [ACK] Seq=15249 Ack=4571 Win=65024 Len=0,1
161,"2025-06-04 06:50:28,745558",Asus.local,extension.femetrics.grammarly.io,92,TLSv1.2,Application Data,1
162,"2025-06-04 06:50:28,748220",extension.femetrics.grammarly.io,Asus.local,92,TLSv1.2,Application Data,1
