dttl;sload;dload;sloss;dloss;sinpkt;dinpkt;sjit;djit;swin;stcpb;dtcpb;dwin;tcprtt;synack;ackdat;smean;dmean;trans_depth;response_body_len;ct_srv_src;ct_state_ttl;ct_dst_ltm;ct_src_dport_ltm;ct_dst_sport_ltm;ct_dst_src_ltm;is_ftp_login;ct_ftp_cmd;ct_flw_http_mthd;ct_src_ltm;ct_srv_dst;is_sm_ips_ports;attack_cat;label
252;213023457;894087097;4;1;213367611;381293437;1815822943;788701375;255;3374744735;1063429159;255;144772;77744;67028;568;44;0;0;1;1;1;1;1;1;0;0;0;2;1;0;Normal;0
0;317600000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;397;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;Normal;0
252;1236825391;16927854;2;1;157703444;195494719;8764724091;346639313;255;783227300;772078300;255;221146;9657;124576;252;44;0;0;4;1;2;1;1;3;0;0;0;2;2;0;Normal;0
252;5976375;834253125;2;2;109319333;124932859;5929211713;192590406;255;794167371;1624757001;255;206572;108393;98179;82;147;1;184;2;1;1;1;1;2;0;0;1;1;3;0;Normal;0
252;5387982422;2509164307;2;1;79353556;120191398;4013392196;218658469;255;3802396535;2514907206;255;162097;79909;82188;53;45;0;0;3;1;1;1;1;2;0;0;0;2;2;0;Normal;0
0;6133776;0;0;0;59998196;0;13651471;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;Normal;0
0;6133775;0;0;0;599982;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;Normal;0
0;6133776;0;0;0;59998196;0;13651471;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;Normal;0
252;3876882812;5940385254;2;2;170481889;159070562;119330656;244118016;255;708428911;3141441573;255;180318;103612;76706;83;127;1;187;2;1;1;1;1;2;0;0;1;1;3;0;Normal;0
0;6133775;0;0;0;599982;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;Normal;0
252;5081243164;2366316895;2;1;84023333;123799203;4064836863;186487812;255;1416292821;1856664256;255;226895;138291;88604;53;45;0;0;3;1;1;1;1;2;0;0;0;1;2;0;Normal;0
252;5067785645;3266140381;2;1;84242667;98501711;4716886723;140050609;255;2545019062;3292860217;255;172317;69791;102526;53;44;0;0;5;1;1;1;1;3;0;0;0;1;3;0;Normal;0
252;1400270117;1916484497;2;1;143781778;173331141;9390189727;257271375;255;1381018516;1985881197;255;135361;79802;55559;252;44;0;0;2;1;1;1;1;2;0;0;0;1;3;0;Normal;0
252;5641147461;7498874512;2;2;117706556;132899281;6102668305;255756219;255;1853677305;1202418679;255;274887;128459;146428;83;142;1;165;1;1;1;1;1;1;0;0;1;3;1;0;Normal;0
252;6166192383;2871573975;2;1;69229667;106834797;3412856309;145655875;255;2425182602;2706975732;255;221323;89865;131458;53;45;0;0;5;1;1;1;1;3;0;0;0;1;3;0;Normal;0
252;1522315527;2083522461;2;1;132107111;154911719;8972551926;220423188;255;3033763933;3509078729;255;195284;105903;89381;252;44;0;0;2;1;1;1;1;2;0;0;0;1;3;0;Normal;0
252;3850032715;1792946655;2;1;110960333;178405406;6141458662;306944813;255;2868770840;4280658180;255;266426;107439;158987;53;45;0;0;5;1;1;1;1;3;0;0;0;2;3;0;Normal;0
252;5847268066;1028117773;2;2;110060889;100616555;7172956819;143497953;255;1528762476;1066585482;255;181441;84249;97192;80;141;1;261;2;1;18;1;1;2;0;0;1;1;2;0;Normal;0
252;5869271484;2733298828;2;1;69326;107047;3518358106;160930422;255;740536776;1008520884;255;199328;120374;78954;53;45;0;0;2;1;1;1;1;2;0;0;0;1;2;0;Normal;0
252;2236575781;3061097168;2;1;83946222;9896643;5467042547;158574391;255;811780886;2226389848;255;21379;117396;96394;252;44;0;0;17;1;1;1;1;3;0;0;0;1;3;0;Normal;0
0;509208679;0;21;0;706979312;0;965398187;0;255;0;0;0;0;0;0;45;0;0;0;17;6;4;3;3;14;0;0;0;3;15;0;Normal;0
0;509208679;0;21;0;706979312;0;965398187;0;255;0;0;0;0;0;0;45;0;0;0;17;6;4;3;3;14;0;0;0;3;15;0;Normal;0
0;509208679;0;21;0;706979312;0;965398187;0;255;0;0;0;0;0;0;45;0;0;0;17;6;4;3;3;14;0;0;0;3;15;0;Normal;0
252;2421971924;1127903809;2;1;173193;301393594;1138844841;541030062;255;3086844008;3257523641;255;153274;81819;71455;53;45;0;0;2;1;1;1;1;2;0;0;0;2;2;0;Normal;0
252;1573773145;2153949951;2;1;123646778;144751719;817213149;198059172;255;531787453;1249086836;255;24447;13811;10636;252;44;0;0;17;1;1;1;1;3;0;0;0;10;3;0;Normal;0
0;47647995;0;19;0;755540687;0;10954585;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
0;47647995;0;19;0;755540687;0;10954585;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
0;47647995;0;19;0;755540687;0;10954585;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
0;440371246;0;19;0;817492125;0;129416175;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
0;438715302;0;19;0;82057775;0;130185075;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
0;440371246;0;19;0;817492125;0;129416175;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
0;440371246;0;19;0;817492125;0;129416175;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
0;438715302;0;19;0;82057775;0;130185075;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
0;438715302;0;19;0;82057775;0;130185075;0;255;0;0;0;0;0;0;45;0;0;0;17;6;9;3;3;14;0;0;0;10;15;0;Normal;0
252;1686375195;2308063232;2;1;119388222;135148;7733705204;189958375;255;2795605829;1134397635;255;22157;127886;93684;252;44;0;0;17;1;1;1;1;3;0;0;0;3;3;0;Normal;0
0;382985992;0;17;0;939982125;0;16305805;0;255;0;0;0;0;0;0;45;0;0;0;17;6;2;1;1;14;0;0;0;3;15;0;Normal;0
0;401934662;0;17;0;895668;0;1477873125;0;255;0;0;0;0;0;0;45;0;0;0;17;6;2;1;1;14;0;0;0;3;15;0;Normal;0
0;382985992;0;17;0;939982125;0;16305805;0;255;0;0;0;0;0;0;45;0;0;0;18;6;4;2;2;17;0;0;0;4;17;0;Normal;0
0;401934662;0;17;0;895668;0;1477873125;0;255;0;0;0;0;0;0;45;0;0;0;18;6;4;2;2;17;0;0;0;4;17;0;Normal;0
0;382985992;0;17;0;939982125;0;16305805;0;255;0;0;0;0;0;0;45;0;0;0;18;6;4;2;2;17;0;0;0;4;17;0;Normal;0
252;5057083984;6014492676;2;2;118501635;175467;6491561713;252408328;255;1182907296;802589817;255;140062;7451;65552;75;140;1;157;1;1;1;1;1;1;0;0;1;2;1;0;Normal;0
0;401934662;0;17;0;895668;0;1477873125;0;255;0;0;0;0;0;0;45;0;0;0;18;6;4;2;2;17;0;0;0;4;17;0;Normal;0
0;35122937;0;15;0;1024971188;0;1831659375;0;255;0;0;0;0;0;0;45;0;0;0;18;6;3;3;3;17;0;0;0;3;17;0;Normal;0
0;35122937;0;15;0;1024971188;0;1831659375;0;255;0;0;0;0;0;0;45;0;0;0;18;6;3;3;3;17;0;0;0;3;17;0;Normal;0
0;35122937;0;15;0;1024971188;0;1831659375;0;255;0;0;0;0;0;0;45;0;0;0;18;6;3;3;3;17;0;0;0;3;17;0;Normal;0
252;6607267578;3076981201;2;1;64699778;96684398;3507093149;155981016;255;4226419251;1222508038;255;178731;98958;79773;53;45;0;0;3;1;1;1;1;2;0;0;0;1;2;0;Normal;0
0;284532166;0;13;0;1265234875;0;243579;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
0;279124512;0;13;0;1289747;0;25086645;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
0;279124512;0;13;0;1289747;0;25086645;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
0;303841064;0;13;0;118483;0;21884775;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
0;284532166;0;13;0;1265234875;0;243579;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
252;7357556641;1006994507;2;1;273641556;328576719;1742554618;481345844;255;3840327893;3548556327;255;2792;162075;117125;252;44;0;0;18;1;1;1;1;1;0;0;0;10;1;0;Normal;0
252;3674669678;2368290283;2;1;116352111;132691281;7064833854;172447047;255;3922662296;186468384;255;171522;11764;53882;53;44;0;0;3;1;1;1;1;2;0;0;0;2;2;0;Normal;0
0;279124512;0;13;0;1289747;0;25086645;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
0;284532166;0;13;0;1265234875;0;243579;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
0;303841064;0;13;0;118483;0;21884775;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
0;303841064;0;13;0;118483;0;21884775;0;255;0;0;0;0;0;0;45;0;0;0;18;6;9;3;3;17;0;0;0;10;17;0;Normal;0
252;2720282471;3402007568;2;2;219671639;251911219;1331812168;368903437;255;1647371567;938705912;255;301504;150194;15131;75;114;1;126;1;1;2;1;1;1;0;0;1;1;1;0;Normal;0
0;246817657;0;11;0;145856675;0;2845959;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;2;2;7;0;0;0;5;8;0;Normal;0
0;242163666;0;11;0;1486598;0;29340635;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;3;3;7;0;0;0;5;8;0;Normal;0
0;246817657;0;11;0;145856675;0;2845959;0;255;0;0;0;0;0;0;45;0;0;0;18;6;2;1;1;17;0;0;0;1;17;0;Normal;0
0;242163666;0;11;0;1486598;0;29340635;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;3;3;7;0;0;0;5;8;0;Normal;0
0;242163666;0;11;0;1486598;0;29340635;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;3;3;7;0;0;0;5;8;0;Normal;0
0;246817657;0;11;0;145856675;0;2845959;0;255;0;0;0;0;0;0;45;0;0;0;8;6;5;2;2;7;0;0;0;5;8;0;Normal;0
252;579071582;269671582;2;1;69994778;114784602;3565853629;166495;255;2600388172;623342715;255;148054;90584;5747;53;45;0;0;5;1;1;1;1;3;0;0;0;2;3;0;Normal;0
252;4473336914;2083217041;2;1;95474667;156240203;4650146095;225094078;255;2537299422;4130059309;255;16717;79005;88165;53;45;0;0;5;1;1;1;1;3;0;0;0;1;3;0;Normal;0
0;214533401;0;9;0;16780605;0;360172875;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;3;11;0;Normal;0
252;2946280518;4469939941;2;2;219938333;211908;1467952685;514389156;255;504743724;17824254;255;14109;71357;69733;81;123;1;168;2;1;1;1;1;2;0;0;1;1;2;0;Normal;0
0;214533401;0;9;0;16780605;0;360172875;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;3;11;0;Normal;0
252;1027662402;1406513672;2;1;193716111;229543281;1134230539;425373531;255;732537965;857310543;255;228211;156418;71793;252;44;0;0;8;1;1;1;1;1;0;0;0;3;1;0;Normal;0
252;5904992188;2749934082;2;1;68209889;112848203;3503393362;172291953;255;573378078;3844895218;255;191544;87402;104142;53;45;0;0;5;1;1;1;1;3;0;0;0;1;3;0;Normal;0
0;206575012;0;9;0;17427085;0;37735005;0;255;0;0;0;0;0;0;45;0;0;0;8;6;2;2;2;7;0;0;0;3;8;0;Normal;0
0;206575012;0;9;0;17427085;0;37735005;0;255;0;0;0;0;0;0;45;0;0;0;8;6;2;2;2;7;0;0;0;3;8;0;Normal;0
0;167899979;0;7;0;214413375;0;43939205;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;2;11;0;Normal;0
0;167899979;0;7;0;214413375;0;43939205;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;2;11;0;Normal;0
252;3319101074;2139129639;2;1;122448111;153663141;8652007826;198409875;255;1859843698;1145592012;255;153635;83699;69936;53;44;0;0;3;1;1;1;1;2;0;0;0;1;2;0;Normal;0
0;156213165;0;7;0;230454325;0;4770138;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;2;11;0;Normal;0
0;156213165;0;7;0;230454325;0;4770138;0;255;0;0;0;0;0;0;45;0;0;0;11;6;2;2;2;11;0;0;0;2;11;0;Normal;0
252;5363163574;2497606201;2;1;66388333;126871;3284802132;162022297;255;4059060577;1649278110;255;132444;83125;49319;53;45;0;0;3;1;1;1;1;2;0;0;0;2;2;0;Normal;0
0;109165855;0;5;0;32977345;0;61746335;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;2;2;11;0;0;0;5;11;0;Normal;0
252;207125;2834823486;2;1;97190556;10487743;5023861708;182480562;255;2138990264;4013507049;255;228169;140685;87484;252;44;0;0;12;1;1;1;1;3;0;0;0;2;3;0;Normal;0
0;107141655;0;5;0;33600375;0;6278833;0;255;0;0;0;0;0;0;45;0;0;0;12;6;1;1;1;9;0;0;0;2;9;0;Normal;0
0;109165855;0;5;0;32977345;0;61746335;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;2;2;11;0;0;0;5;11;0;Normal;0
0;107141655;0;5;0;33600375;0;6278833;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;1;1;11;0;0;0;5;11;0;Normal;0
252;381124707;5927451172;2;2;170860889;158795219;9513325933;271657688;255;664847518;2707919610;255;333902;109439;224463;81;127;1;188;2;1;1;1;1;2;0;0;1;2;2;0;Normal;0
0;11154493;0;5;0;3227399;0;6033978;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;2;2;11;0;0;0;5;11;0;Normal;0
0;11154493;0;5;0;3227399;0;6033978;0;255;0;0;0;0;0;0;45;0;0;0;11;6;5;2;2;11;0;0;0;5;11;0;Normal;0
0;62526024;0;3;0;57576025;0;81424755;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;Normal;0
0;62543964;0;3;0;57559505;0;8140131;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;Normal;0
0;62543964;0;3;0;57559505;0;8140131;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;Normal;0
252;4427028809;2061651611;2;1;89176556;152091797;464790085;215683547;255;1130834393;1765038992;255;2012;108745;92455;53;45;0;0;4;1;1;1;1;3;0;0;0;1;3;0;Normal;0
0;5631802;0;3;0;63922705;0;904003;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;Normal;0
0;62526024;0;3;0;57576025;0;81424755;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;Normal;0
0;64719048;0;3;0;55625045;0;7866557;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;Normal;0
0;5631802;0;3;0;63922705;0;904003;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;Normal;0
252;2218465039;2193978516;2;1;90476222;137692797;4489654147;196170453;255;2986121594;4120927092;255;234341;128308;106033;252;45;0;0;12;1;1;1;1;3;0;0;0;9;3;0;Normal;0
0;64719048;0;3;0;55625045;0;7866557;0;255;0;0;0;0;0;0;45;0;0;0;12;6;8;2;2;9;0;0;0;9;9;0;Normal;0
252;5308340332;2472075195;2;1;78324111;114136;4176591702;179829109;255;1754390776;3920969527;255;305671;154212;151459;53;45;0;0;4;1;1;1;1;3;0;0;0;1;3;0;Normal;0
252;3952532471;5094484863;2;2;147753369;221341281;7502326999;308739156;255;1189974610;4041664482;255;184153;75141;109012;73;148;1;189;1;1;2;1;1;1;0;0;1;1;1;0;Normal;0
252;1041893066;1425990601;2;1;193200556;237767719;1144607773;345173906;255;2807919407;90823043;255;155534;74759;80775;252;44;0;0;12;1;1;1;1;3;0;0;0;1;3;0;Normal;0
252;4343924316;2022950073;2;1;98388333;146184594;482808777;224065016;255;1049614339;2314763912;255;264407;154903;109504;53;45;0;0;4;1;1;1;1;3;0;0;0;2;3;0;Normal;0
252;3262440918;2102612549;2;1;131053889;15724;7212306954;296206062;255;2521601668;1350177862;255;153475;59793;93682;53;44;0;0;5;1;1;1;1;2;0;0;0;2;2;0;Normal;0
252;1373825195;1880290649;2;1;139290556;176796141;8370505282;290400688;255;194472982;3611257216;255;141348;81363;59985;252;44;0;0;1;1;2;1;1;1;0;0;0;1;2;0;Normal;0
252;5660692383;80561875;2;2;116515;12934943;6160721977;249897156;255;3719681799;1268959706;255;263248;142526;120722;82;151;1;201;4;1;1;1;1;4;0;0;1;1;4;0;Normal;0
252;3964161865;6648006836;2;2;165843111;154136328;9429113098;361663156;255;2803389328;344484475;255;24616;106148;140012;82;138;1;190;4;1;19;3;3;4;0;0;9;3;4;0;Normal;0
252;3964161865;6648006836;2;2;165843111;154136328;9429113098;361663156;255;2803389328;344484475;255;24616;106148;140012;82;138;1;190;4;1;19;3;3;4;0;0;9;3;4;0;Normal;0
252;5849419922;3769896484;2;1;71205889;8213343;3940160955;155716141;255;3513978104;3009814518;255;154585;829;71685;53;44;0;0;5;1;1;1;1;2;0;0;0;1;2;0;Normal;0
252;3964161865;6648006836;2;2;165843111;154136328;9429113098;361663156;255;2803389328;344484475;255;24616;106148;140012;82;138;1;190;4;1;19;3;3;4;0;0;9;3;4;0;Normal;0
252;1249297559;1709855469;2;1;161142778;196436281;107398817;272772906;255;2169276756;153020640;255;148026;75352;72674;252;44;0;0;3;1;1;1;1;1;0;0;0;1;1;0;Normal;0
252;2653463623;1710132446;2;1;161131111;186609422;1085887348;275466563;255;676216202;1044137019;255;147977;75253;72724;53;44;0;0;3;1;1;1;1;2;0;0;0;2;2;0;Normal;0
252;2954842773;190436853;2;1;131686;17398;9299015842;230862594;255;1096251361;3075233536;255;162513;84404;78109;53;44;0;0;3;1;1;1;1;2;0;0;0;1;2;0;Normal;0
252;4861673828;7494253418;2;2;134384444;161683141;8559975615;332885312;255;4178422368;2909803900;255;160495;76835;8366;82;162;1;245;4;1;1;1;1;4;0;0;1;1;5;0;Normal;0
252;2836395313;2805088623;2;1;67101111;99882797;355853123;152201516;255;2761340365;4249137715;255;223974;139422;84552;252;45;0;0;2;1;1;1;1;2;0;0;0;2;3;0;Normal;0
252;4262058105;5992605469;2;2;151936889;140481;8151237969;274637688;255;3927142267;686902016;255;257473;104015;153458;81;114;1;199;4;1;2;2;2;4;0;0;4;3;5;0;Normal;0
252;4262058105;5992605469;2;2;151936889;140481;8151237969;274637688;255;3927142267;686902016;255;257473;104015;153458;81;114;1;199;4;1;2;2;2;4;0;0;4;3;5;0;Normal;0
252;1879913867;2572950439;2;1;104145556;128774;6995117633;184499641;255;4020956110;929068355;255;122622;62448;60174;252;44;0;0;2;1;2;1;1;2;0;0;0;1;3;0;Normal;0
252;4442448242;2863116455;2;1;91926889;103145141;4882050891;188508297;255;4029826422;3624478972;255;237641;144164;93477;53;44;0;0;4;1;1;1;1;1;0;0;0;3;1;0;Normal;0
252;7989291992;1210599609;2;2;80107222;93228859;4202933493;149406563;255;3269906757;2745857208;255;142953;67697;75256;80;156;1;221;2;1;20;1;1;2;0;0;1;1;2;0;Normal;0
252;2784227148;2753496094;2;1;65168778;10539;3580068927;150487172;255;1790221268;1361794474;255;286305;12385;162455;252;45;0;0;2;1;1;1;1;2;0;0;0;1;2;0;Normal;0
252;5196981934;747840625;2;2;121937222;113950555;782368249;154534266;255;365998042;2150456672;255;149633;72004;77629;79;114;1;125;2;1;1;1;1;2;0;0;1;1;2;0;Normal;0
252;4542948242;211563501;2;1;90553;146489;488142292;226545547;255;854834386;928619636;255;265274;114578;150696;53;45;0;0;2;1;1;1;1;2;0;0;0;1;2;0;Normal;0
252;2593361719;2564737549;2;1;72785;11788;3880991189;184798297;255;2697171862;79615878;255;203594;109304;9429;252;45;0;0;2;1;1;1;1;2;0;0;0;1;2;0;Normal;0
252;1711153125;2341975586;2;1;117649444;141687141;7825927286;202278828;255;2876010731;1773399987;255;15398;67118;86862;252;44;0;0;3;1;1;1;1;2;0;0;0;2;2;0;Normal;0
252;5049047363;3254063721;2;1;84680444;9766257;51967357;131455094;255;2450225453;857637212;255;132417;7776;54657;53;44;0;0;6;1;1;1;1;4;0;0;0;1;4;0;Normal;0
252;2600754102;3559531006;2;1;74717;90208289;4045492527;163732797;255;3664217323;1561140497;255;137256;65254;72002;252;44;0;0;3;1;1;1;1;2;0;0;0;1;2;0;Normal;0
252;3813764648;5050661133;2;2;172474667;205666422;1017585319;397208594;255;1797628756;1731393852;255;22291;98223;124687;82;140;1;157;2;1;1;1;1;2;0;0;1;1;2;0;Normal;0
252;3560417725;2294656006;2;1;118041778;140174578;7023830555;207317875;255;150265011;4249647506;255;18222;99541;82679;53;44;0;0;6;1;1;1;1;4;0;0;0;1;4;0;Normal;0
252;5615230957;2614993164;2;1;63285444;108015;350566538;138291359;255;2270531088;1239868836;255;236791;145203;91588;53;45;0;0;5;1;1;1;1;3;0;0;0;2;3;0;Normal;0
252;6561720215;9819701172;2;2;97129;86873555;5342234208;160059984;255;3592259928;3043092096;255;174053;91674;82379;80;119;1;151;2;1;1;1;1;1;0;0;1;1;1;0;Normal;0
252;2860268164;2828697998;2;1;66765333;112086602;3599072528;181029141;255;2985558268;2856325946;255;15334;73071;80269;252;45;0;0;18;1;1;1;1;1;0;0;0;2;1;0;Normal;0
252;9194105469;4281662598;2;1;43467333;66652203;2208951184;89613461;255;1570613953;2907579949;255;155128;8526;69868;53;45;0;0;5;1;2;2;1;3;0;0;0;2;3;0;Normal;0
0;406816711;0;11;0;884919437;0;143830125;0;255;0;0;0;0;0;0;45;0;0;0;18;6;11;2;2;18;0;0;0;11;17;0;Normal;0
